uuid,image_path,scientific_name
5994c404-c52b-4833-ace9-eecdd76cf149,images-original/59/5994c404-c52b-4833-ace9-eecdd76cf149.jpeg,Danaus plexippus plexippus
6cb21298-a76e-4693-abc5-c5ddea93ffbe,images-original/6c/6cb21298-a76e-4693-abc5-c5ddea93ffbe.jpeg,Danaus gilippus
6f34b554-3cc9-4175-a9ec-13572e096e5c,images-original/6f/6f34b554-3cc9-4175-a9ec-13572e096e5c.jpeg,Danaus plexippus
59aff41d-9a5f-40ec-84a5-bc422b4c8939,images-original/59/59aff41d-9a5f-40ec-84a5-bc422b4c8939.jpg,Dione vanillae
9258b964-304e-4030-9c10-2477a66fd4e9,images-original/92/9258b964-304e-4030-9c10-2477a66fd4e9.jpg,Limenitis weidemeyerii
382a99e6-5c61-4a7f-a877-99c6ac7c0e01,images-original/38/382a99e6-5c61-4a7f-a877-99c6ac7c0e01.jpg,Vanessa cardui
444bb95c-b4c4-4e33-9e6c-c7926af84dcc,images-original/44/444bb95c-b4c4-4e33-9e6c-c7926af84dcc.jpeg,Limenitis populi
1ae52bb8-54dc-4d9f-87c4-7a332ac194c5,images-original/1a/1ae52bb8-54dc-4d9f-87c4-7a332ac194c5.jpg,Limenitis arthemis astyanax
e669dcef-0361-4f1d-862b-835cc44ac56f,images-original/e6/e669dcef-0361-4f1d-862b-835cc44ac56f.jpg,Limenitis populi
eac41920-5aef-43db-92fb-c554c0dea015,images-original/ea/eac41920-5aef-43db-92fb-c554c0dea015.jpg,Nymphalis antiopa
ecf5629f-04ad-4f02-a0d8-184db9dcb3c0,images-original/ec/ecf5629f-04ad-4f02-a0d8-184db9dcb3c0.jpg,Pararge aegeria
4c90bf94-e730-4a4a-9d23-d36790c9c248,images-original/4c/4c90bf94-e730-4a4a-9d23-d36790c9c248.jpeg,Danaus plexippus
b886e9ad-5fc0-4a39-9f15-c4423534ff85,images-original/b8/b886e9ad-5fc0-4a39-9f15-c4423534ff85.jpg,Nymphalis antiopa
21fd5c5a-db5b-4220-bfec-d4e600e853a6,images-original/21/21fd5c5a-db5b-4220-bfec-d4e600e853a6.jpeg,Pararge aegeria
d2a08569-6543-4055-b76f-dae05272f799,images-original/d2/d2a08569-6543-4055-b76f-dae05272f799.jpg,Vanessa virginiensis
51b8eeb2-a99a-4fac-8864-19b4e6780924,images-original/51/51b8eeb2-a99a-4fac-8864-19b4e6780924.jpeg,Vanessa atalanta rubria
9375bfa1-ee6b-499c-ab77-e8caafee6648,images-original/93/9375bfa1-ee6b-499c-ab77-e8caafee6648.jpeg,Vanessa virginiensis
170823b1-aafe-4011-bed1-48d3701290cd,images-original/17/170823b1-aafe-4011-bed1-48d3701290cd.jpeg,Vanessa virginiensis
7509af26-d919-4827-8bd3-f393af159cc8,images-original/75/7509af26-d919-4827-8bd3-f393af159cc8.jpeg,Danaus plexippus
6b270c08-383a-4ee0-abf6-362f12995ee8,images-original/6b/6b270c08-383a-4ee0-abf6-362f12995ee8.jpeg,Danaus plexippus
1681aabc-ecd3-425e-b99b-c3619d667e09,images-original/16/1681aabc-ecd3-425e-b99b-c3619d667e09.jpeg,Danaus plexippus
